,0,1,2,3,4,5
65,그랜저 IG,3.0 익스클루시브 스페셜,19/02식,"79,348km",가솔린,"2,650"
66,그랜저 IG,2.4 프리미엄,18/11식(19년형),"50,254km",가솔린,"2,510"
67,그랜저 IG,3.0 LPi 모던 (렌터카),19/04식,"131,858km",LPG(일반인 구입),"1,780"
68,더 뉴 그랜저 IG,2.5 캘리그래피,20/03식,"25,424km",가솔린,"3,590"
69,그랜저 IG,2.4 프리미엄 스페셜,17/11식(18년형),"60,070km",가솔린,"2,590"
70,그랜저 HG,HG300 프리미엄,14/01식,"166,767km",가솔린,"1,000"
71,그랜저 IG,2.4 모던,18/04식,"77,181km",가솔린,"1,849"
72,그랜저 IG 하이브리드,익스클루시브,17/07식(18년형),"62,828km",가솔린+전기,"2,750"
73,그랜저 HG,HG240 모던,13/02식,"182,301km",가솔린,990
74,그랜저 IG,2.4 프리미엄,19/05식,"112,700km",가솔린,"1,899"
75,그랜저 IG 하이브리드,익스클루시브 스페셜,18/02식,"100,997km",가솔린+전기,"2,590"
76,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,"110,817km",가솔린,"1,960"
77,그랜저 HG,LPG HG300 장애인용,14/07식(15년형),"140,893km",LPG(일반인 구입),"1,299"
78,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),18/01식,"70,634km",LPG(일반인 구입),"2,730"
79,그랜저 IG,2.4 모던,17/12식(18년형),"55,592km",가솔린,"2,040"
80,그랜저 HG,HG330 셀러브리티,12/10식,"117,548km",가솔린,"1,220"
81,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),"40,499km",가솔린+전기,"4,130"
82,그랜저 HG,LPG HG300 모던,16/10식(17년형),"90,685km",LPG(일반인 구입),"1,399"
83,그랜저 HG,HG300 익스클루시브,13/04식(14년형),"161,312km",가솔린,880
84,그랜저 IG,2.2 디젤 프리미엄,17/03식(18년형),"144,075km",디젤,"1,890"
85,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/05식,"38,914km",가솔린+전기,"3,950"
86,그랜저 HG,HG240 럭셔리,11/03식,"154,618km",가솔린,879
87,그랜저 HG,HG240 모던,16/02식,"80,900km",가솔린,"1,580"
88,그랜저 HG,HG300 로얄,11/06식,"173,657km",가솔린,699
89,그랜저 IG,2.4 프리미엄,18/12식(19년형),"48,726km",가솔린,"2,520"
90,그랜저 HG 하이브리드,프리미엄,14/10식(15년형),"137,711km",가솔린+전기,"1,380"
91,그랜저 HG,HG300 프라임,12/04식,"250,829km",가솔린,550
92,그랜저 HG,HG300 프라임,12/05식,"172,129km",가솔린,690
93,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,"134,000km",가솔린,"2,095"
94,더 뉴 그랜저 IG 하이브리드,르블랑,22/03식,240km,가솔린+전기,"3,730"
95,그랜저 IG,2.4 모던,18/01식,"124,619km",가솔린,"1,680"
96,더 뉴 그랜저 IG,2.5 익스클루시브,20/04식,"21,202km",가솔린,"3,490"
97,그랜저 IG,2.4 모던,17/10식(18년형),"75,223km",가솔린,"1,880"
98,그랜저 HG,HG240 모던,13/09식(14년형),"135,967km",가솔린,990
99,,,,,,
100,그랜저 HG,HG300 익스클루시브,13/04식(14년형),"161,312km",가솔린,880
101,그랜저 IG,2.2 디젤 프리미엄,17/03식(18년형),"144,075km",디젤,"1,890"
102,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/05식,"38,914km",가솔린+전기,"3,950"
103,그랜저 HG,HG240 럭셔리,11/03식,"154,618km",가솔린,879
104,그랜저 HG,HG240 모던,16/02식,"80,900km",가솔린,"1,580"
105,,,,,,
106,그랜저 HG,HG300 로얄,11/06식,"173,657km",가솔린,699
107,그랜저 IG,2.4 프리미엄,18/12식(19년형),"48,726km",가솔린,"2,520"
108,그랜저 HG 하이브리드,프리미엄,14/10식(15년형),"137,711km",가솔린+전기,"1,380"
109,그랜저 HG,HG300 프라임,12/04식,"250,829km",가솔린,550
110,그랜저 HG,HG300 프라임,12/05식,"172,129km",가솔린,690
111,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,"134,000km",가솔린,"2,095"
112,더 뉴 그랜저 IG 하이브리드,르블랑,22/03식,240km,가솔린+전기,"3,730"
113,그랜저 IG,2.4 모던,18/01식,"124,619km",가솔린,"1,680"
114,더 뉴 그랜저 IG,2.5 익스클루시브,20/04식,"21,202km",가솔린,"3,490"
115,그랜저 IG,2.4 모던,17/10식(18년형),"75,223km",가솔린,"1,880"
116,그랜저 HG,HG240 모던,13/09식(14년형),"135,967km",가솔린,990
117,그랜저 IG 하이브리드,익스클루시브,18/04식,"18,375km",가솔린+전기,"3,280"
118,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/04식,"45,413km",가솔린+전기,"4,330"
119,그랜저 IG,2.2 디젤 모던,18/04식,"107,700km",디젤,"1,930"
120,그랜저 HG,HG240 럭셔리,12/01식,"173,900km",가솔린,680
121,그랜저 IG,3.0 익스클루시브 스페셜,18/08식(19년형),"23,681km",가솔린,"2,650"
122,그랜저 TG,Q270 프리미어 기본형,05/08식,"98,034km",가솔린,350
123,그랜저 HG,HG300 노블,11/06식,"134,682km",가솔린,850
124,그랜저 HG,HG240 모던 컬렉션,16/06식(17년형),"75,378km",가솔린,"1,590"
125,더 뉴 그랜저 IG,2.5 익스클루시브,21/05식,"7,046km",가솔린,"3,630"
126,그랜저 IG,2.2 디젤 프리미엄 스페셜,18/01식,"99,143km",디젤,"2,730"
127,그랜저 IG,2.4 프리미엄,18/02식,"90,036km",가솔린,"2,099"
128,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/04식,"16,249km",가솔린+전기,"4,369"
129,그랜저 IG,2.4 프리미엄,18/07식(19년형),"56,175km",가솔린,"2,450"
130,그랜저 IG,2.4 모던,18/04식,"20,970km",가솔린,"2,290"
131,그랜저 IG,2.2 디젤 프리미엄,18/02식,"87,107km",디젤,"2,150"
132,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/05식(22년형),"7,055km",가솔린+전기,"4,679"
133,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"137,705km",가솔린,"1,990"
134,더 뉴 그랜저 IG,2.5 프리미엄 초이스,19/12식(20년형),"18,233km",가솔린,"3,080"
135,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/08식(22년형),"21,721km",가솔린+전기,"4,490"
136,그랜저 HG,LPG HG300 이그제큐티브,12/09식,"149,166km",LPG(일반인 구입),"1,330"
137,그랜저 IG 하이브리드,프리미엄,19/06식,"38,266km",가솔린+전기,"2,930"
138,그랜저 IG,2.4 모던,19/01식,"67,578km",가솔린,"2,090"
139,그랜저 IG,3.0 모던 베이직 (렌터카),18/06식(19년형),"113,752km",가솔린,"1,670"
140,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/01식,"20,905km",가솔린,"2,800"
141,그랜저 IG,2.4 프리미엄,17/06식(18년형),"134,513km",가솔린,"1,650"
142,그랜저 IG,3.0 익스클루시브 스페셜,18/12식(19년형),"73,367km",가솔린,"2,570"
143,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/01식,"49,152km",가솔린+전기,"3,729"
144,그랜저 IG,3.0 익스클루시브,18/04식,"60,743km",가솔린,"2,400"
145,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/02식,"41,245km",가솔린,"3,130"
146,그랜저 HG,LPG HG300 이그제큐티브,12/10식,"69,452km",LPG(일반인 구입),"1,330"
147,그랜저 TG,LPI Q270 모범형,06/01식,"211,732km",LPG(일반인 구입),270
148,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,17/11식(18년형),"75,026km",LPG(일반인 구입),"2,530"
149,그랜저 IG,3.0 프리미엄,19/04식,"176,545km",가솔린,"1,699"
150,그랜저 IG,2.4 프리미엄,17/06식(18년형),"134,513km",가솔린,"1,650"
151,그랜저 IG,3.0 익스클루시브 스페셜,18/12식(19년형),"73,367km",가솔린,"2,570"
152,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/01식,"49,152km",가솔린+전기,"3,729"
153,그랜저 IG,3.0 익스클루시브,18/04식,"60,743km",가솔린,"2,400"
154,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/02식,"41,245km",가솔린,"3,130"
155,그랜저 HG,LPG HG300 이그제큐티브,12/10식,"69,452km",LPG(일반인 구입),"1,330"
156,그랜저 TG,LPI Q270 모범형,06/01식,"211,732km",LPG(일반인 구입),270
157,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,17/11식(18년형),"75,026km",LPG(일반인 구입),"2,530"
158,그랜저 IG,3.0 프리미엄,19/04식,"176,545km",가솔린,"1,699"
159,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"50,653km",가솔린,"2,890"
160,그랜저 IG,3.0 모던 베이직 (렌터카),17/06식(18년형),"41,452km",가솔린,"1,920"
161,그랜저 IG,3.0 LPi 모던 (렌터카),17/03식(18년형),"94,745km",LPG(일반인 구입),"1,730"
162,그랜저 IG 하이브리드,익스클루시브 스페셜,19/05식,"27,112km",가솔린+전기,"3,490"
163,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,16/12식(17년형),"70,803km",LPG(일반인 구입),"2,300"
164,더 뉴 그랜저 IG,3.3 익스클루시브,20/01식,"30,381km",가솔린,"3,450"
165,그랜저 TG,Q270 디럭스 기본형,05/10식(06년형),"109,600km",가솔린,239
166,그랜저 HG,HG240 모던,13/01식,"77,406km",가솔린,"1,360"
167,그랜저 IG 하이브리드,익스클루시브 스페셜,18/02식,"100,997km",가솔린+전기,"2,590"
168,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,"110,817km",가솔린,"1,960"
169,그랜저 HG,HG240 럭셔리,12/11식,"198,163km",가솔린,680
170,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/04식,"144,912km",가솔린,290
171,그랜저 HG,HG240 모던 컬렉션,17/02식,"44,762km",가솔린,"1,450"
172,그랜저 HG,HG330 셀러브리티,14/04식,"70,847km",가솔린,"1,389"
173,그랜저 IG,2.4 프리미엄,16/11식(17년형),"110,000km",가솔린,"1,690"
174,그랜저 IG,2.4 프리미엄,18/04식,"166,335km",가솔린,"1,550"
175,더 뉴 그랜저 IG,3.0 LPi (렌터카용) 모던,20/08식,"35,629km",LPG(일반인 구입),"2,590"
176,그랜저 TG,LPI Q270 개인형,07/07식(08년형),"203,642km",LPG(일반인 구입),280
177,뉴 그랜저 XG,R20 기본형,03/08식(04년형),"149,296km",가솔린,219
178,더 뉴 그랜저 IG 하이브리드,프리미엄 초이스,19/12식(20년형),"47,583km",가솔린+전기,"3,490"
179,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),"24,815km",가솔린+전기,"4,020"
180,그랜저 IG,3.0 LPi 모던 (렌터카),19/01식,"74,788km",LPG(일반인 구입),"1,990"
181,그랜저 IG,2.4 모던,17/12식(18년형),"108,692km",가솔린,"1,600"
182,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/03식,"19,894km",가솔린,"3,140"
183,그랜저 IG,2.4 프리미엄,17/09식(18년형),"39,381km",가솔린,"2,400"
184,더 뉴 그랜저 IG,2.5 프리미엄,20/04식,"23,967km",가솔린,"3,290"
185,그랜저 IG,3.0 LPI 택시형 모범형,18/01식,"131,788km",LPG(일반인 구입),"1,450"
186,더 뉴 그랜저 IG,3.0 LPi 프리미엄,21/01식,"14,027km",LPG(일반인 구입),"3,090"
187,그랜저 IG,3.0 익스클루시브,17/02식,"128,000km",가솔린,"1,850"
188,그랜저 IG 하이브리드,익스클루시브 스페셜,18/03식,"50,612km",가솔린+전기,"2,899"
189,그랜저 TG,LPI Q270 모범형 팩2,07/09식(08년형),"152,700km",LPG(일반인 구입),390
190,,,,,,
191,더 뉴 그랜저 IG,2.5 익스클루시브,21/05식,"7,046km",가솔린,"3,630"
192,그랜저 HG,HG240 모던 컬렉션,16/06식(17년형),"75,378km",가솔린,"1,590"
