,0,1,2,3,4,5
753,그랜저 IG,3.0 LPi 모던 (렌터카),18/09식(19년형),"89,179km",LPG(일반인 구입),"2,050"
754,그랜저 IG,2.4 프리미엄 스페셜,17/07식(18년형),"50,877km",가솔린,"2,450"
755,그랜저 HG,HG330 셀러브리티,13/08식(14년형),"117,854km",가솔린,"1,190"
756,그랜저 IG,2.2 디젤 프리미엄,18/04식,"49,793km",디젤,"2,330"
757,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/03식,"32,011km",가솔린+전기,"4,600"
758,그랜저 HG,LPG HG300 모던,14/06식,"116,200km",LPG(일반인 구입),"1,150"
759,그랜저 IG,3.0 LPi 모던 (렌터카),18/05식(19년형),"148,979km",LPG(일반인 구입),"1,695"
760,그랜저 HG,HG240 럭셔리,11/07식,"196,095km",가솔린,690
761,그랜저 HG,HG240 모던,13/03식,"36,158km",가솔린,"1,490"
762,그랜저 HG,HG300 프리미엄,13/04식(14년형),"212,201km",가솔린,680
763,그랜저 HG,HG300 프리미엄,13/07식(14년형),"195,694km",가솔린,850
764,더 뉴 그랜저 IG,2.5 익스클루시브,20/02식,"24,510km",가솔린,"3,390"
765,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/03식,"155,576km",LPG(일반인 구입),"1,850"
766,더 뉴 그랜저 IG,3.0 LPi (렌터카용) 프리미엄,20/03식,"47,284km",LPG(일반인 구입),"3,350"
767,그랜저 HG 하이브리드,프리미엄,15/06식(16년형),"123,718km",가솔린+전기,"1,759"
768,그랜저 HG 하이브리드,프리미엄,14/05식(15년형),"96,033km",가솔린+전기,"1,670"
769,그랜저 HG,LPG HG300 모던,15/11식(16년형),"182,731km",LPG(일반인 구입),890
770,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/11식(20년형),"24,780km",가솔린+전기,"4,290"
771,그랜저 IG 하이브리드,익스클루시브 스페셜,18/06식(19년형),"74,866km",가솔린+전기,"2,899"
772,그랜저 IG,2.4 프리미엄,18/05식(19년형),"107,178km",가솔린,"1,799"
773,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/12식(21년형),"33,829km",가솔린+전기,"3,990"
774,그랜저 IG,3.0 익스클루시브 스페셜,17/01식,"157,582km",가솔린,"1,990"
775,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/03식,"23,559km",가솔린+전기,"4,350"
776,그랜저 HG,HG240 모던,13/02식,"54,021km",가솔린,"1,339"
777,그랜저 HG 하이브리드,프리미엄,14/12식(15년형),"152,044km",가솔린+전기,"1,250"
778,더 럭셔리 그랜저,Q270 24주년 스페셜 에디션 럭셔리 I,10/06식(11년형),"168,250km",가솔린,460
779,그랜저 IG,3.0 익스클루시브 스페셜,19/08식,"55,450km",가솔린,"2,720"
780,그랜저 HG,HG300 익스클루시브,13/06식(14년형),"93,000km",가솔린,"1,259"
781,그랜저 IG,3.0 익스클루시브,18/03식,"65,116km",가솔린,"2,440"
782,그랜저 IG,3.0 익스클루시브 스페셜,17/09식(18년형),"174,281km",가솔린,"1,899"
783,,,,,,
784,그랜저 IG,2.4 프리미엄 스페셜,18/09식(19년형),"46,670km",가솔린,"2,730"
785,그랜저 HG,HG300 프리미엄,13/01식,"83,802km",가솔린,"1,289"
786,그랜저 IG,3.0 익스클루시브 스페셜,19/01식,"59,022km",가솔린,"2,890"
787,그랜저 IG 하이브리드,익스클루시브 스페셜,18/03식,"107,686km",가솔린+전기,"2,640"
788,더 뉴 그랜저 IG,2.5 프리미엄 초이스,21/04식,"24,011km",가솔린,"3,290"
789,그랜저 IG 하이브리드,익스클루시브 스페셜,18/12식(19년형),"23,274km",가솔린+전기,"3,399"
790,그랜저 IG,2.4 프리미엄,17/06식(18년형),"129,606km",가솔린,"1,800"
791,그랜저 HG,HG240 모던 컬렉션,16/12식(17년형),"99,136km",가솔린,"1,350"
792,그랜저 HG,HG240 모던,16/05식,"51,836km",가솔린,"1,500"
793,그랜저 IG,2.4 프리미엄 스페셜,17/09식(18년형),"83,009km",가솔린,"2,160"
794,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/09식(10년형),"122,133km",가솔린,299
795,그랜저 IG,2.4 프리미엄,19/01식,"35,432km",가솔린,"2,550"
796,그랜저 HG,HG220 디젤 프리미엄,14/10식(15년형),"211,001km",디젤,750
797,그랜저 IG,2.4 프리미엄,18/04식,"39,848km",가솔린,"2,290"
798,그랜저 HG,HG300 프리미엄,13/11식(14년형),"90,402km",가솔린,"1,220"
799,그랜저 IG,3.0 익스클루시브 스페셜,18/01식,"42,622km",가솔린,"2,450"
800,그랜저 HG,HG240 모던,13/02식,"54,021km",가솔린,"1,339"
801,그랜저 HG 하이브리드,프리미엄,14/12식(15년형),"152,044km",가솔린+전기,"1,250"
802,더 럭셔리 그랜저,Q270 24주년 스페셜 에디션 럭셔리 I,10/06식(11년형),"168,250km",가솔린,460
803,그랜저 IG,3.0 익스클루시브 스페셜,19/08식,"55,450km",가솔린,"2,720"
804,그랜저 HG,HG300 익스클루시브,13/06식(14년형),"93,000km",가솔린,"1,259"
805,그랜저 IG,3.0 익스클루시브,18/03식,"65,116km",가솔린,"2,440"
806,그랜저 IG,3.0 익스클루시브 스페셜,17/09식(18년형),"174,281km",가솔린,"1,899"
807,그랜저 IG,2.4 프리미엄 스페셜,18/09식(19년형),"46,670km",가솔린,"2,730"
808,그랜저 HG,HG300 프리미엄,13/01식,"83,802km",가솔린,"1,289"
809,그랜저 IG,3.0 익스클루시브 스페셜,19/01식,"59,022km",가솔린,"2,890"
810,그랜저 IG 하이브리드,익스클루시브 스페셜,18/03식,"107,686km",가솔린+전기,"2,640"
811,더 뉴 그랜저 IG,2.5 프리미엄 초이스,21/04식,"24,011km",가솔린,"3,290"
812,그랜저 IG 하이브리드,익스클루시브 스페셜,18/12식(19년형),"23,274km",가솔린+전기,"3,399"
813,그랜저 IG,2.4 프리미엄,17/06식(18년형),"129,606km",가솔린,"1,800"
814,그랜저 HG,HG240 모던 컬렉션,16/12식(17년형),"99,136km",가솔린,"1,350"
815,그랜저 HG,HG240 모던,16/05식,"51,836km",가솔린,"1,500"
816,그랜저 IG,2.4 프리미엄 스페셜,17/09식(18년형),"83,009km",가솔린,"2,160"
817,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/09식(10년형),"122,133km",가솔린,299
818,그랜저 IG,2.4 프리미엄,19/01식,"35,432km",가솔린,"2,550"
819,그랜저 HG,HG220 디젤 프리미엄,14/10식(15년형),"211,001km",디젤,750
820,그랜저 IG,2.4 프리미엄,18/04식,"39,848km",가솔린,"2,290"
821,그랜저 HG,HG300 프리미엄,13/11식(14년형),"90,402km",가솔린,"1,220"
822,그랜저 IG,3.0 익스클루시브 스페셜,18/01식,"42,622km",가솔린,"2,450"
823,그랜저 HG,LPG HG300 모던,13/03식,"255,239km",LPG(일반인 구입),550
824,더 뉴 그랜저 IG,2.5 익스클루시브,21/06식,"9,991km",가솔린,"3,570"
825,그랜저 IG,3.3 셀러브리티,17/05식(18년형),"46,260km",가솔린,"2,650"
826,그랜저 HG,LPG HG300 택시형,16/07식(17년형),"147,124km",LPG(일반인 구입),"1,070"
827,그랜저 IG 하이브리드,익스클루시브 스페셜,19/10식,"73,657km",가솔린+전기,"2,999"
828,그랜저 IG,2.2 디젤 프리미엄 스페셜,17/06식(18년형),"113,255km",디젤,"2,399"
829,그랜저 IG,3.0 익스클루시브 스페셜,18/04식,"85,819km",가솔린,"2,680"
830,그랜저 IG,3.0 익스클루시브,16/11식(17년형),"57,986km",가솔린,"2,250"
831,그랜저 IG,2.4 프리미엄,17/03식(18년형),"117,668km",가솔린,"1,750"
832,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),"49,335km",가솔린+전기,"3,950"
833,그랜저 IG,2.4 프리미엄,18/07식,"59,138km",가솔린,"2,220"
834,,,,,,
835,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/05식(18년형),"81,672km",LPG(일반인 구입),"2,320"
836,그랜저 HG,HG240 모던,13/09식(14년형),"147,135km",가솔린,"1,020"
837,그랜저 HG,HG330 셀러브리티,13/08식(14년형),"117,854km",가솔린,"1,190"
838,그랜저 IG,2.2 디젤 프리미엄,18/04식,"49,793km",디젤,"2,330"
839,그랜저 IG,3.0 LPi 모던 (렌터카),19/07식,"119,982km",LPG(일반인 구입),"1,920"
840,그랜저 HG,HG220 디젤 프리미엄,15/01식,"193,428km",디젤,"1,150"
841,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,08/08식(09년형),"211,652km",가솔린,280
842,그랜저 IG,3.0 LPi 모던 (렌터카),17/12식(18년형),"27,106km",LPG(일반인 구입),"2,320"
843,그랜저 HG,LPG HG300 장애인용,13/01식,"133,394km",LPG(일반인 구입),"1,080"
844,그랜저 TG,Q270 럭셔리 기본형,06/11식(07년형),"124,031km",가솔린,280
845,그랜저 IG,3.0 LPi 모던 (렌터카),17/01식,"112,983km",LPG(일반인 구입),"1,799"
846,그랜저 HG,LPG HG300 프라임,11/11식(12년형),"154,665km",LPG(일반인 구입),990
847,그랜저 HG,LPG HG300 익스클루시브,16/05식(17년형),"149,727km",LPG(일반인 구입),"1,380"
848,그랜저 HG,HG300 노블,11/06식,"117,433km",가솔린,949
849,그랜저 HG,LPG HG300 프리미엄,13/06식(14년형),"125,715km",LPG(일반인 구입),"1,209"
850,그랜저 IG,3.0 익스클루시브 스페셜,18/04식,"85,819km",가솔린,"2,680"
851,그랜저 IG,3.0 익스클루시브,16/11식(17년형),"57,986km",가솔린,"2,250"
852,그랜저 IG,2.4 프리미엄,17/03식(18년형),"117,668km",가솔린,"1,750"
853,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),"49,335km",가솔린+전기,"3,950"
854,그랜저 IG,2.4 프리미엄,18/07식,"59,138km",가솔린,"2,220"
855,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/05식(18년형),"81,672km",LPG(일반인 구입),"2,320"
856,그랜저 HG,HG240 모던,13/09식(14년형),"147,135km",가솔린,"1,020"
857,그랜저 HG,HG330 셀러브리티,13/08식(14년형),"117,854km",가솔린,"1,190"
858,그랜저 IG,2.2 디젤 프리미엄,18/04식,"49,793km",디젤,"2,330"
859,그랜저 IG,3.0 LPi 모던 (렌터카),19/07식,"119,982km",LPG(일반인 구입),"1,920"
860,그랜저 HG,HG220 디젤 프리미엄,15/01식,"193,428km",디젤,"1,150"
861,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,08/08식(09년형),"211,652km",가솔린,280
862,그랜저 IG,3.0 LPi 모던 (렌터카),17/12식(18년형),"27,106km",LPG(일반인 구입),"2,320"
863,그랜저 HG,LPG HG300 장애인용,13/01식,"133,394km",LPG(일반인 구입),"1,080"
864,그랜저 TG,Q270 럭셔리 기본형,06/11식(07년형),"124,031km",가솔린,280
865,그랜저 IG,3.0 LPi 모던 (렌터카),17/01식,"112,983km",LPG(일반인 구입),"1,799"
866,그랜저 HG,LPG HG300 프라임,11/11식(12년형),"154,665km",LPG(일반인 구입),990
867,그랜저 HG,LPG HG300 익스클루시브,16/05식(17년형),"149,727km",LPG(일반인 구입),"1,380"
868,그랜저 HG,HG300 노블,11/06식,"117,433km",가솔린,949
869,그랜저 HG,LPG HG300 프리미엄,13/06식(14년형),"125,715km",LPG(일반인 구입),"1,209"
870,더 뉴 그랜저 IG,2.5 익스클루시브,20/02식,"24,510km",가솔린,"3,390"
871,그랜저 IG,3.0 익스클루시브,18/08식(19년형),"111,191km",가솔린,"1,999"
872,그랜저 HG,HG300 익스클루시브,13/04식,"116,327km",가솔린,"1,230"
873,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"35,156km",가솔린,"2,899"
874,그랜저 HG,HG300 익스클루시브 스페셜,15/04식,"173,639km",가솔린,970
875,그랜저 IG 하이브리드,익스클루시브 스페셜,18/03식,"107,686km",가솔린+전기,"2,640"
876,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/10식(21년형),"60,838km",가솔린+전기,"2,990"
877,그랜저 HG,HG300 프라임,12/02식,"170,372km",가솔린,699
878,더 뉴 그랜저 IG,2.5 프리미엄 초이스,21/04식,"24,011km",가솔린,"3,290"
879,,,,,,
880,더 뉴 그랜저 IG,2.5 캘리그래피,20/04식,"30,589km",가솔린,"3,660"
881,그랜저 HG,HG240 모던 컬렉션,16/12식(17년형),"163,374km",가솔린,"1,140"
882,그랜저 IG,3.0 익스클루시브,17/05식(18년형),"110,807km",가솔린,"1,870"
883,그랜저 HG,HG240 모던,13/07식(14년형),"89,742km",가솔린,"1,199"
884,그랜저 IG,2.4 프리미엄 스페셜,18/05식(19년형),"76,618km",가솔린,"2,350"
885,그랜저 HG,HG240 모던 컬렉션,16/10식(17년형),"117,114km",가솔린,"1,390"
886,그랜저 IG,2.4 프리미엄,19/01식,"35,432km",가솔린,"2,550"
887,그랜저 IG,2.4 익스클루시브 스페셜,19/03식,"73,724km",가솔린,"2,640"
888,그랜저 IG,2.4 프리미엄,17/07식(18년형),"13,588km",가솔린,"2,460"
889,그랜저 IG,2.4 프리미엄 스페셜,18/04식,"64,275km",가솔린,"2,150"
890,그랜저 HG,LPG HG300 모던,16/05식(17년형),"113,770km",LPG(일반인 구입),"1,049"
891,그랜저 IG,3.0 익스클루시브,17/03식,"135,410km",가솔린,"1,760"
892,그랜저 HG,HG240 모던 컬렉션,16/09식(17년형),"181,000km",가솔린,990
893,그랜저 HG,HG240 럭셔리,11/09식,"151,732km",가솔린,750
894,그랜저 HG,HG240 모던 컬렉션,16/06식(17년형),"84,940km",가솔린,"1,420"
895,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/12식(21년형),"33,829km",가솔린+전기,"3,990"
896,더 뉴 그랜저 IG,2.5 캘리그래피,21/01식,"21,615km",가솔린,"3,790"
897,그랜저 IG,2.4 프리미엄,18/05식,"78,831km",가솔린,"2,490"
898,더 뉴 그랜저 IG,2.5 프리미엄,20/04식,"17,626km",가솔린,"2,950"
899,더 뉴 그랜저 IG,2.5 익스클루시브,21/06식,"9,991km",가솔린,"3,570"
900,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/12식(21년형),"33,829km",가솔린+전기,"3,990"
901,더 뉴 그랜저 IG,2.5 캘리그래피,21/01식,"21,615km",가솔린,"3,790"
902,그랜저 IG,2.4 프리미엄,18/05식,"78,831km",가솔린,"2,490"
903,더 뉴 그랜저 IG,2.5 프리미엄,20/04식,"17,626km",가솔린,"2,950"
904,더 뉴 그랜저 IG,2.5 익스클루시브,21/06식,"9,991km",가솔린,"3,570"
905,그랜저 IG,3.0 익스클루시브 스페셜,19/02식,"70,200km",가솔린,"2,277"
906,그랜저 IG 하이브리드,익스클루시브 스페셜,19/10식,"73,657km",가솔린+전기,"2,999"
907,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/03식,"23,559km",가솔린+전기,"4,350"
908,그랜저 IG,3.0 익스클루시브 스페셜,18/07식(19년형),"52,847km",가솔린,"2,770"
909,더 뉴 그랜저 IG 하이브리드,프리미엄 초이스,20/05식,"6,057km",가솔린+전기,"3,750"
910,그랜저 IG,3.0 익스클루시브,17/12식(18년형),"62,334km",가솔린,"2,150"
911,그랜저 HG,HG240 럭셔리,11/11식(12년형),"119,570km",가솔린,920
912,그랜저 IG,3.0 익스클루시브 스페셜,18/04식,"85,819km",가솔린,"2,680"
913,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/12식(18년형),"57,705km",LPG(일반인 구입),"2,069"
914,그랜저 IG,2.4 프리미엄,17/04식(18년형),"69,300km",가솔린,"2,150"
915,그랜저 IG,3.0 LPI 익스클루시브,19/06식,"48,374km",LPG(일반인 구입),"2,590"
916,그랜저 HG,LPG HG300 이그제큐티브,11/05식,"113,531km",LPG(일반인 구입),"1,159"
917,그랜저 HG,HG240 럭셔리,12/05식,"243,510km",가솔린,529
918,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),"49,335km",가솔린+전기,"3,950"
919,,,,,,
920,그랜저 HG,HG220 디젤 프리미엄,15/02식,"97,298km",디젤,"1,599"
921,그랜저 HG 하이브리드,프리미엄 컬렉션,16/06식(17년형),"110,309km",가솔린+전기,"1,970"
922,그랜저 IG,3.0 LPi 모던 (렌터카),17/04식(18년형),"76,201km",LPG(일반인 구입),"1,990"
923,더 뉴 그랜저 IG,2.5 프리미엄,20/01식,"89,043km",가솔린,"2,750"
924,그랜저 HG,LPG HG300 프리미엄,13/04식(14년형),"155,032km",LPG(일반인 구입),"1,063"
925,더 럭셔리 그랜저,Q270 24주년 스페셜 에디션 럭셔리 I,10/11식(11년형),"72,384km",가솔린,569
926,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/05식(18년형),"81,672km",LPG(일반인 구입),"2,320"
927,그랜저 HG,HG300 프리미엄,15/11식(16년형),"91,391km",가솔린,"1,280"
928,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/09식(18년형),"29,669km",LPG(일반인 구입),"2,899"
929,그랜저 HG,LPG HG300 모던,15/10식(16년형),"204,353km",LPG(일반인 구입),"9,999"
930,그랜저 IG,2.2 디젤 프리미엄,18/07식(19년형),"73,619km",디젤,"2,149"
931,더 럭셔리 그랜저,LPI Q270,10/01식,"113,020km",LPG(일반인 구입),620
932,더 뉴 그랜저 IG,3.3 프리미엄 초이스,20/01식,"31,931km",가솔린,"3,249"
933,그랜저 IG,2.4 모던,17/04식(18년형),"39,283km",가솔린,"2,249"
934,그랜저 HG,LPG HG300 장애인용,13/05식(14년형),"198,683km",LPG(일반인 구입),920
935,그랜저 HG,HG240 모던,13/01식,"122,909km",가솔린,"1,080"
936,그랜저 HG,LPG HG300 프라임,12/03식,"266,000km",LPG(일반인 구입),920
937,그랜저 IG,3.0 LPi 모던 (렌터카),17/01식,"112,983km",LPG(일반인 구입),"1,799"
938,그랜저 뉴 럭셔리,Q270 럭셔리 스마트팩,09/03식,"152,360km",가솔린,330
939,그랜저 IG 하이브리드,익스클루시브,18/01식,"116,880km",가솔린+전기,"2,500"
940,그랜저 HG,LPG HG300 모던,14/07식(15년형),"168,699km",LPG(일반인 구입),"1,100"
941,그랜저 IG,2.4 프리미엄,18/04식,"97,297km",가솔린,"1,980"
942,그랜저 IG,3.0 익스클루시브 스페셜,18/07식(19년형),"52,847km",가솔린,"2,770"
943,그랜저 HG,HG300 익스클루시브,13/02식,"196,127km",가솔린,860
944,그랜저 IG,3.0 LPi 장애인용 프리미엄 스페셜,18/07식(19년형),"73,825km",LPG(일반인 구입),"2,380"
945,그랜저 IG,2.4 프리미엄,17/07식(18년형),"13,588km",가솔린,"2,460"
946,그랜저 HG,LPG HG300 프라임,11/05식,"150,773km",LPG(일반인 구입),750
947,그랜저 IG,3.0 익스클루시브 스페셜,18/11식(19년형),"66,743km",가솔린,"2,250"
948,더 뉴 그랜저 IG,2.5 캘리그래피,21/01식,"21,615km",가솔린,"3,790"
949,그랜저 HG,LPG HG300 프리미엄,13/03식,"93,315km",LPG(일반인 구입),"1,599"
950,더 뉴 그랜저 IG,2.5 프리미엄,20/04식,"17,626km",가솔린,"2,950"
951,그랜저 IG 하이브리드,프리미엄,18/05식(19년형),"90,245km",가솔린+전기,"2,499"
952,그랜저 IG,2.2 디젤 프리미엄 스페셜,18/01식,"52,339km",디젤,"2,990"
953,그랜저 HG,HG240 모던 컬렉션,16/06식(17년형),"84,940km",가솔린,"1,420"
954,그랜저 HG,HG220 디젤 프리미엄,14/10식(15년형),"132,019km",디젤,"1,199"
955,그랜저 HG,HG240 모던 컬렉션,16/10식(17년형),"117,114km",가솔린,"1,390"
956,그랜저 IG,2.4 프리미엄,18/02식,"90,392km",가솔린,"1,999"
957,그랜저 HG,HG300 프라임,11/03식,"179,227km",가솔린,690
958,그랜저 HG,LPG HG300 장애인용,13/07식(14년형),"207,465km",LPG(일반인 구입),820
959,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/06식,"19,900km",가솔린+전기,"4,050"
960,더 뉴 그랜저 IG 하이브리드,프리미엄 초이스,20/05식,"6,057km",가솔린+전기,"3,750"
961,더 뉴 그랜저 IG,3.3 캘리그래피,20/04식,"40,355km",가솔린,"3,750"
962,그랜저 HG,HG220 디젤 프리미엄,14/10식(15년형),"143,614km",디젤,"1,350"
963,뉴 그랜저 XG,R25 기본형,03/11식(04년형),"97,237km",가솔린,270
964,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,17/03식(18년형),"48,802km",LPG(일반인 구입),"2,450"
965,그랜저 HG,HG300 익스클루시브,14/02식,"88,820km",가솔린,"1,260"
966,그랜저 IG,3.0 프리미엄,18/12식(19년형),"95,466km",가솔린,"1,999"
967,그랜저 TG,LPI Q270 장애인용,07/08식(08년형),"165,000km",LPG(일반인 구입),260
968,더 뉴 그랜저 IG,2.5 캘리그래피,20/04식,"30,589km",가솔린,"3,660"
969,그랜저 IG 하이브리드,익스클루시브 스페셜,18/09식(19년형),"94,795km",가솔린+전기,"2,580"
970,그랜저 HG,HG240 모던,13/12식(14년형),"189,254km",가솔린,870
971,그랜저 HG,HG300 익스클루시브 스페셜,15/01식,"73,687km",가솔린,"1,700"
972,그랜저 HG,HG300 프라임,11/11식(12년형),"120,600km",가솔린,850
973,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,17/04식(18년형),"105,413km",LPG(일반인 구입),"2,020"
974,그랜저 HG,HG240 모던,14/08식(15년형),"68,424km",가솔린,"1,550"
975,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/03식,"201,490km",LPG(일반인 구입),"1,480"
976,그랜저 IG,2.4 모던,18/01식,"90,369km",가솔린,"1,920"
977,그랜저 IG,2.4 프리미엄 스페셜,18/05식(19년형),"76,618km",가솔린,"2,350"
978,그랜저 IG,2.4 프리미엄,18/03식,"63,042km",가솔린,"2,180"
979,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/04식(18년형),"172,564km",LPG(일반인 구입),"2,029"
980,더 뉴 그랜저 IG,3.3 르블랑,21/09식(22년형),"13,410km",가솔린,"3,990"
981,그랜저 HG,LPG HG300 택시형,12/05식,"92,273km",LPG(일반인 구입),799
982,그랜저,2.0,90/10식,"164,087km",가솔린,730
983,그랜저 HG 하이브리드,프리미엄,14/03식,"144,794km",가솔린+전기,"1,530"
984,그랜저 TG,Q270 디럭스 기본형,06/06식,"150,288km",가솔린,280
985,그랜저 IG,2.4 프리미엄,17/02식,"142,809km",가솔린,"1,570"
986,그랜저 HG 하이브리드,프리미엄 컬렉션,16/06식(17년형),"110,309km",가솔린+전기,"1,970"
987,그랜저 IG,3.0 LPi 모던 (렌터카),17/04식(18년형),"76,201km",LPG(일반인 구입),"1,990"
988,그랜저 HG,HG240 럭셔리,11/09식,"248,681km",가솔린,520
989,그랜저 IG,3.0 프리미엄,18/12식(19년형),"74,324km",가솔린,"2,420"
990,더 뉴 그랜저 IG,2.5 프리미엄,20/01식,"89,043km",가솔린,"2,750"
991,그랜저 TG,LPI Q270 장애인용,06/09식(07년형),"137,960km",LPG(일반인 구입),390
992,그랜저 IG,3.0 LPi 모던 (렌터카),17/06식(18년형),"87,657km",LPG(일반인 구입),"1,894"
993,그랜저 IG,3.0 LPi 모던 (렌터카),17/11식(18년형),"56,888km",LPG(일반인 구입),"2,030"
994,더 뉴 그랜저 IG,2.5 스페셜,20/09식,"69,731km",가솔린,"3,190"
995,그랜저 HG,HG220 디젤 프리미엄,14/08식(15년형),"45,529km",디젤,"1,620"
996,그랜저 IG,3.0 익스클루시브 스페셜,17/11식(18년형),"23,126km",가솔린,"2,659"
997,그랜저 HG,HG300 익스클루시브,14/03식,"187,000km",가솔린,899
998,,,,,,
999,그랜저 HG,HG240 모던 컬렉션,16/03식,"68,000km",가솔린,"1,590"
1000,그랜저 IG 하이브리드,익스클루시브,18/01식,"116,880km",가솔린+전기,"2,500"
1001,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/09식(18년형),"29,669km",LPG(일반인 구입),"2,899"
1002,그랜저 IG,2.4 모던,17/04식(18년형),"39,283km",가솔린,"2,249"
1003,그랜저 IG,2.2 디젤 프리미엄,18/07식(19년형),"73,619km",디젤,"2,149"
1004,그랜저 HG,HG240 럭셔리,11/06식,"73,469km",가솔린,699
1005,그랜저 IG 하이브리드,익스클루시브 스페셜,19/04식,"40,749km",가솔린+전기,"3,650"
1006,그랜저 HG,HG240 럭셔리,12/10식,"130,000km",가솔린,690
1007,그랜저 IG,3.0 LPi 모던 (렌터카),17/03식,"122,004km",LPG(일반인 구입),"1,630"
1008,그랜저 HG,HG240 럭셔리,11/07식,"197,984km",가솔린,580
1009,그랜저 HG,LPG HG300 모던,13/01식,"172,544km",LPG(일반인 구입),"3,333"
1010,그랜저 IG 하이브리드,익스클루시브,19/11식,"71,134km",가솔린+전기,"2,730"
1011,그랜저 IG,2.4 프리미엄,18/02식,"90,392km",가솔린,"1,999"
1012,그랜저 HG,HG220 디젤 모던,15/07식(16년형),"146,757km",디젤,"1,020"
1013,그랜저 IG,3.0 LPi 모던 (렌터카),17/07식(18년형),"106,928km",LPG(일반인 구입),"1,950"
1014,그랜저 HG,LPG HG300 프리미엄,13/04식(14년형),"231,400km",LPG(일반인 구입),730
1015,그랜저 HG,HG240 모던,13/09식(14년형),"60,438km",가솔린,"1,290"
1016,그랜저 HG,HG240 럭셔리,12/10식,"171,506km",가솔린,750
1017,그랜저 IG,2.4 프리미엄,18/03식,"117,154km",가솔린,"1,709"
1018,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,17/03식(18년형),"48,802km",LPG(일반인 구입),"2,450"
1019,그랜저 IG,2.2 디젤 프리미엄 스페셜,18/01식,"52,339km",디젤,"2,990"
1020,그랜저 HG,LPG HG300 이그제큐티브,12/03식,"133,443km",LPG(일반인 구입),"1,190"
1021,그랜저 IG,3.0 프리미엄,18/12식(19년형),"95,466km",가솔린,"1,999"
1022,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),18/06식(19년형),"133,387km",LPG(일반인 구입),"1,940"
1023,더 뉴 그랜저 IG,2.5 캘리그래피,21/01식,"13,515km",가솔린,"3,820"
1024,그랜저 HG,HG240 모던,14/08식(15년형),"68,424km",가솔린,"1,550"
1025,그랜저 IG,2.4 프리미엄,17/06식(18년형),"17,091km",가솔린,"2,399"
1026,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/02식,"105,325km",LPG(일반인 구입),"2,049"
1027,그랜저 IG,3.0 익스클루시브,18/01식,"95,455km",가솔린,"1,990"
1028,그랜저 IG,3.0 LPi 모던 (렌터카),17/03식,"57,647km",LPG(일반인 구입),"1,950"
1029,그랜저 IG,3.0 익스클루시브,17/07식,"58,609km",가솔린,"2,290"
1030,더 뉴 그랜저 IG 하이브리드,익스클루시브,21/05식(22년형),"35,878km",가솔린+전기,"4,030"
1031,그랜저 HG,HG300 프리미엄,15/02식,"120,599km",가솔린,"1,020"
1032,그랜저 IG,2.4 익스클루시브 스페셜,19/03식,"24,484km",가솔린,"2,780"
1033,그랜저 IG,3.0 익스클루시브 스페셜,17/11식(18년형),"100,434km",가솔린,"2,299"
1034,더 뉴 그랜저 IG,3.3 캘리그래피,20/04식,"40,355km",가솔린,"3,750"
1035,더 뉴 그랜저 IG,3.3 르블랑,21/05식(22년형),"2,563km",가솔린,"4,120"
1036,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,"80,305km",가솔린,"2,590"
1037,그랜저 IG,3.0 익스클루시브,18/03식,"77,445km",가솔린,"2,199"
1038,더 뉴 그랜저 IG,3.0 LPi 익스클루시브,21/02식,"21,284km",LPG(일반인 구입),"3,500"
1039,그랜저 HG,HG220 디젤 프리미엄,14/08식(15년형),"200,074km",디젤,950
1040,그랜저 IG,2.4 프리미엄,19/03식,"19,435km",가솔린,"2,750"
