,model,option,year,odometer,fuel,price,car
227,더 뉴 아반떼 AD,1.6 터보 스포츠 프리미엄,20/01식,12227,가솔린,2050,avante
228,아반떼 AD,1.6 터보 스포츠 익스트림 셀렉션,17/10식(18년형),154313,가솔린,1090,avante
229,더 뉴 아반떼,1.6 VGT 모던 기본형,14/08식(15년형),86667,디젤,760,avante
230,아반떼 MD,M16 GDI 에비뉴,13/06식(14년형),90303,가솔린,850,avante
231,아반떼 AD,1.6 LPI 스마트(렌터카),17/05식(18년형),254338,LPG(일반인 구입),790,avante
232,아반떼 AD,1.6 LPI 스마트(렌터카),17/03식,116382,LPG(일반인 구입),990,avante
233,더 뉴 아반떼 AD,1.6 디젤 스마트,19/05식,58455,디젤,1550,avante
234,아반떼 AD,1.6 GDI 모던,15/09식(16년형),58130,가솔린,1350,avante
236,아반떼 (CN7),1.6 인스퍼레이션,20/05식(21년형),35450,가솔린,2030,avante
237,아반떼 HD,1.6 VVT S16 럭셔리 어드밴스팩,10/02식,100000,가솔린,260,avante
238,아반떼 MD,M16 GDI 디럭스,12/03식,182076,가솔린,550,avante
239,아반떼 AD,1.6 터보 스포츠,17/12식(18년형),89216,가솔린,936,avante
240,아반떼 AD,1.6 GDI 밸류 플러스,18/04식,36015,가솔린,899,avante
241,아반떼 AD,1.6 LPI 스마트(렌터카),17/09식(18년형),89281,LPG(일반인 구입),1150,avante
242,아반떼 AD,1.6 GDI 스마트 스페셜,16/01식,78643,가솔린,1110,avante
243,더 뉴 아반떼,1.6 GDi 스마트 기본형,15/08식(16년형),107252,가솔린,950,avante
244,아반떼 HD,1.6 VVT S16 럭셔리,07/12식(08년형),105290,가솔린,375,avante
245,아반떼 AD,1.6 GDI 밸류 플러스,18/09식,79848,가솔린,1299,avante
246,아반떼 MD,M16 GDI 스마트,12/11식(13년형),163199,가솔린,450,avante
247,아반떼 AD,1.6 GDI 스마트,17/05식(18년형),29799,가솔린,1399,avante
248,아반떼 MD,M16 GDI 탑,12/01식,69677,가솔린,530,avante
249,아반떼 AD,1.6 GDI 스마트,15/12식(16년형),111368,가솔린,860,avante
250,더 뉴 아반떼 AD,1.6 프리미엄,19/07식(20년형),56008,가솔린,1720,avante
251,아반떼 AD,1.6 GDI 스마트,16/07식(17년형),83969,가솔린,810,avante
252,아반떼 AD,1.6 GDI 밸류 플러스,17/05식,62009,가솔린,1380,avante
253,아반떼 AD,1.6 e-VGT 스마트 스페셜,15/12식(16년형),83619,디젤,1220,avante
254,더 뉴 아반떼,1.6 VGT 프리미엄 기본형,14/06식,76324,디젤,1090,avante
255,더 뉴 아반떼 AD,1.6 LPi 스마트(렌터카용),18/10식(19년형),96437,LPG(일반인 구입),1360,avante
