,model,option,year,odometer,fuel,price,car
2856,쏘나타 (DN8),2.0 프리미엄 패밀리,21/02식,1983,가솔린,2520,sonata
2857,쏘나타 뉴 라이즈,2.0 모던,19/02식,48752,가솔린,1899,sonata
2858,LF 쏘나타,2.0 스타일 스페셜,17/01식,61499,가솔린,1370,sonata
2859,NF 쏘나타 트랜스폼,LPG N20 럭셔리,08/01식,88280,LPG(일반인 구입),419,sonata
2860,LF 쏘나타,2.0 스타일 스페셜,17/01식,61499,가솔린,1370,sonata
2861,YF 쏘나타,LPI 럭셔리,11/02식,169783,LPG(일반인 구입),390,sonata
2862,NF 쏘나타 트랜스폼,LPG N20 럭셔리,08/02식,279126,LPG(일반인 구입),200,sonata
2863,YF 쏘나타,LPI 럭셔리,12/05식,90973,LPG(일반인 구입),750,sonata
2864,YF 쏘나타,LPI 프리미어(장애인용),10/05식,169602,LPG(일반인 구입),520,sonata
2865,YF 쏘나타,LPI 프리미어(장애인용),10/03식,230388,LPG(일반인 구입),420,sonata
2866,LF 쏘나타,2.0 스마트,15/09식,51000,가솔린,1490,sonata
2867,EF 쏘나타,2.0 GVS,00/01식,79000,가솔린,299,sonata
2868,NF 쏘나타,N20 블랙 프리미어,07/08식(08년형),106000,가솔린,550,sonata
2869,쏘나타 (DN8),2.0 LPG(장애인용) 모던,21/04식,15016,LPG(일반인 구입),2320,sonata
2870,LF 쏘나타,2.0 스마트 스페셜,14/06식(15년형),86504,가솔린,1260,sonata
2871,NF 쏘나타,N20 럭셔리 기본형,06/01식,77576,가솔린,310,sonata
2872,쏘나타 뉴 라이즈,2.0 모던,17/03식(18년형),94200,가솔린,1650,sonata
2873,LF 쏘나타,2.0 스마트 스페셜,17/02식,40806,가솔린,1620,sonata
2874,쏘나타 뉴 라이즈,LPI 스타일,17/04식(18년형),124842,LPG(일반인 구입),1170,sonata
2875,LF 쏘나타 하이브리드,2.0 HEV 모던,16/04식,129657,가솔린+전기,1590,sonata
2876,쏘나타 (DN8),2.0 프리미엄,19/04식(20년형),100521,가솔린,1649,sonata
2877,LF 쏘나타,2.0 스타일,14/09식(15년형),113837,가솔린,890,sonata
2878,쏘나타 (DN8),2.0 프리미엄,19/05식(20년형),17495,가솔린,2350,sonata
