,model,option,year,odometer,fuel,price,car
2294,싼타페 DM,디젤(e-VGT) 2.0 2WD 스마트,12/11식(13년형),135835,디젤,1099,santafe
2295,싼타페 TM,디젤 2.0 2WD 프리미엄,19/02식,85429,디젤,2100,santafe
2296,싼타페 TM,디젤 2.0 4WD 프리미엄,18/06식(19년형),99560,디젤,2270,santafe
2297,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,17/10식(18년형),52111,디젤,2050,santafe
2298,싼타페 DM,디젤(e-VGT) 2.2 2WD 익스클루시브 스페셜,14/05식(15년형),81054,디젤,1740,santafe
2299,싼타페 CM,2WD(2.2VGT) MLX 고급형,08/02식,108000,디젤,520,santafe
2300,싼타페 DM,디젤(e-VGT) 2.2 2WD 익스클루시브 스페셜,14/05식(15년형),81054,디젤,1740,santafe
2301,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,12/08식(13년형),133282,디젤,1280,santafe
2302,싼타페 DM,디젤(e-VGT) 2.2 2WD 프리미엄,12/06식(13년형),166840,디젤,1250,santafe
2303,싼타페 CM,2WD(2.0 e-VGT) MLX 럭셔리,10/04식(11년형),174226,디젤,580,santafe
2304,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,15/04식,75850,디젤,1680,santafe
2305,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,16/01식,87400,디젤,2190,santafe
2306,싼타페 TM,디젤 2.0 2WD 익스클루시브,20/04식,12109,디젤,2999,santafe
2307,싼타페 CM,2WD(2.0VGT) MLX 기본형,11/06식,212000,디젤,570,santafe
2308,싼타페 TM,디젤 2.0 4WD 프리미엄,18/05식(19년형),100029,디젤,2299,santafe
2309,더 뉴 싼타페,디젤 2.2 2WD 프리미엄 초이스,21/12식,14234,디젤,3180,santafe
2310,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,15/04식,75850,디젤,1680,santafe
2311,더 뉴 싼타페,디젤 2.2 2WD 캘리그래피,20/08식(21년형),18476,디젤,3670,santafe
