,model,option,year,odometer,fuel,price,car
2069,GV80,2.5T 가솔린 AWD,21/04식,26490,가솔린,7399,genesis
2070,G80 (RG3),가솔린 2.5 터보 AWD,21/10식(22년형),9444,가솔린,6730,genesis
2071,GV80,2.5T 가솔린 AWD,20/04식,24446,가솔린,7099,genesis
2072,GV70,2.5T 가솔린 2WD,21/07식,15952,가솔린,5480,genesis
2073,G80 (RG3),가솔린 2.5 터보 2WD,21/08식(22년형),7687,가솔린,6080,genesis
2074,더 뉴 G70,가솔린 2.0T 2WD,21/04식,13525,가솔린,4199,genesis
2075,G80,3.3 GDI AWD 럭셔리,18/03식,70825,가솔린,3250,genesis
2076,GV80,3.0 디젤 AWD,20/03식,57412,디젤,7230,genesis
2077,G70,2.2D 슈프림,17/12식(18년형),141964,디젤,2470,genesis
2078,G70,2.0T AWD 스포츠 패키지,18/09식,146414,가솔린,2570,genesis
2079,더 뉴 G70,디젤 2.2 4WD,21/06식,1668,디젤,5350,genesis
2080,G80,3.3 GDI AWD 프리미엄 럭셔리,19/02식,48562,가솔린,3700,genesis
2081,G80,3.8 GDI AWD 파이니스트,16/10식(17년형),84484,가솔린,3399,genesis
2082,G80,3.3 GDI AWD 프리미엄 럭셔리,18/02식,134542,가솔린,2590,genesis
2083,G80,3.3 GDI 럭셔리,17/02식,63082,가솔린,2730,genesis
2084,G80,3.3 GDI AWD 프리미엄 럭셔리,17/04식,66647,가솔린,3290,genesis
2085,G80,3.3 GDI AWD 프리미엄 럭셔리,17/04식,51712,가솔린,3350,genesis
2086,EQ900,3.8 GDI AWD 럭셔리,17/03식,90955,가솔린,3333,genesis
2087,G70,2.0T 슈프림,18/04식,81380,가솔린,3020,genesis
2088,G80,3.8 GDI AWD 프레스티지,18/07식,49675,가솔린,3899,genesis
2089,G70,3.3T 스포츠 어드밴스드,18/04식,46736,가솔린,3120,genesis
2090,EQ900,3.8 GDI AWD 프리미엄 럭셔리,17/03식,115486,가솔린,3750,genesis
2091,G90,3.8 AWD 프리미엄 럭셔리,18/12식(19년형),121064,가솔린,4990,genesis
2092,G80,3.3 GDI AWD 프레스티지,17/12식(18년형),53766,가솔린,3530,genesis
2093,G80,3.3 GDI AWD 프레스티지,17/11식(18년형),61653,가솔린,2990,genesis
2095,G70,2.0T 어드밴스드,18/05식,38693,가솔린,2990,genesis
2096,EQ900,3.3 T-GDI AWD 프리미엄 럭셔리,17/07식(18년형),91419,가솔린,4250,genesis
2097,G80,3.3 GDI AWD 프레스티지,18/09식,31706,가솔린,3730,genesis
2098,G80,3.3 T-GDI AWD 스포츠,17/08식,45478,가솔린,3980,genesis
2099,EQ900,3.8 GDI AWD 럭셔리,17/05식(18년형),79641,가솔린,3690,genesis
2100,EQ900,5.0 GDI AWD 프레스티지,18/04식,95790,가솔린,4650,genesis
2101,GV70,2.2 디젤 AWD,21/03식,17989,디젤,6800,genesis
2102,G90,3.8 럭셔리,20/04식,17919,가솔린,6550,genesis
2103,EQ900,5.0 GDI AWD 프레스티지,18/05식,94455,가솔린,4650,genesis
2104,GV70,2.2 디젤 AWD,21/06식,9697,디젤,5690,genesis
2105,EQ900,3.3 T-GDI AWD 프리미엄 럭셔리,16/03식,253252,가솔린,2390,genesis
2106,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/03식,55050,가솔린,4950,genesis
2107,G90,3.3 T AWD 프리미엄 럭셔리,19/05식,121699,가솔린,5550,genesis
2108,GV80,3.0 디젤 AWD,20/10식,44497,디젤,6550,genesis
2109,G70,2.0T 엘리트,19/01식,57428,가솔린,3550,genesis
2110,G80,3.3 GDI AWD 프리미엄 럭셔리,17/11식(18년형),69379,가솔린,3399,genesis
2111,EQ900,5.0 GDI AWD 프레스티지,18/01식,79737,가솔린,4780,genesis
2112,G90,5.0 AWD 프레스티지,18/12식(19년형),70168,가솔린,6650,genesis
2113,G80,3.3 GDI AWD 프레스티지,18/02식,87909,가솔린,3170,genesis
2114,G80,3.3 GDI AWD 프레스티지,18/03식,129698,가솔린,2890,genesis
2115,G80,3.8 GDI AWD 프레스티지,18/12식(19년형),46261,가솔린,3820,genesis
2116,G80,3.8 GDI AWD 프레스티지,16/09식(17년형),139251,가솔린,2720,genesis
2117,GV80,2.5T 가솔린 2WD,20/06식,9596,가솔린,6490,genesis
2118,더 뉴 G70,가솔린 3.3T 2WD,21/07식,176,가솔린,4650,genesis
2119,G80,3.3 T-GDI 스포츠,19/07식,25940,가솔린,4790,genesis
2120,G80 (RG3),가솔린 3.5 터보 AWD,20/09식(21년형),24101,가솔린,6570,genesis
2121,G80,3.3 GDI AWD 프리미엄 럭셔리,16/09식(17년형),119485,가솔린,2799,genesis
2122,EQ900,3.8 GDI 럭셔리,16/03식,48366,가솔린,3380,genesis
2123,G80,3.3 GDI 럭셔리,17/06식(18년형),203805,가솔린,1855,genesis
2124,GV80,3.0 디젤 AWD,20/03식,45114,디젤,7450,genesis
2126,G80,3.3 GDI AWD 프레스티지,18/09식,31706,가솔린,3730,genesis
2127,EQ900,3.8 GDI AWD 럭셔리,18/02식,177032,가솔린,2850,genesis
2128,EQ900,3.8 GDI AWD 럭셔리,16/01식,118597,가솔린,2760,genesis
2129,G80 (RG3),가솔린 2.5 터보 2WD,20/05식(21년형),20423,가솔린,5290,genesis
2130,G70,2.0T 어드밴스드,18/05식,38693,가솔린,2990,genesis
2131,G80,3.3 GDI AWD 럭셔리,19/03식,61529,가솔린,3270,genesis
2132,G80,2.2D 프리미엄 럭셔리,18/07식,126218,디젤,2970,genesis
2133,G70,3.3T 스포츠 프레스티지,19/04식,56221,가솔린,3490,genesis
2134,EQ900,5.0 GDI AWD 프레스티지,18/01식,79737,가솔린,4780,genesis
2135,G80,3.3 GDI AWD 럭셔리,17/09식(18년형),69413,가솔린,2740,genesis
2136,G80,3.8 GDI AWD 프레스티지,18/12식(19년형),46261,가솔린,3820,genesis
2137,G80,3.3 GDI 럭셔리,18/01식,16036,가솔린,3330,genesis
2138,G80,3.3 T-GDI AWD 스포츠,17/08식,45478,가솔린,3980,genesis
2139,G70,2.2D 슈프림,18/01식,63319,디젤,3050,genesis
2140,G80 (RG3),가솔린 3.5 터보 AWD,20/05식(21년형),47679,가솔린,5950,genesis
2141,G70,3.3T 스포츠 AWD 프레스티지,19/03식,28639,가솔린,3990,genesis
2142,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/01식,104121,가솔린,3690,genesis
2143,GV80,3.0 디젤 AWD,20/10식,44497,디젤,6550,genesis
2144,G70,2.0T AWD 엘리트,19/04식,29402,가솔린,3720,genesis
2145,GV70,3.5T 가솔린 AWD,21/04식,7994,가솔린,9999,genesis
